Subject,Condition,Time_point,Value
4,3,418,5.88257700204849
4,3,419,6.00127071142197
4,3,420,6.11711198091507
4,3,421,6.22898232936859
4,3,422,6.33589404821396
4,3,423,6.43695586919785
4,3,424,6.53131103515625
4,3,425,6.61810338497162
4,3,426,6.69642770290375
4,3,427,6.76528984308243
4,3,428,6.82363671064377
4,3,429,6.87035095691681
4,3,430,6.90429133176804
4,3,431,6.92435044050217
4,3,432,6.92951506376266
4,3,433,6.91894847154617
4,3,434,6.89205861091614
4,3,435,6.84855699539185
4,3,436,6.78854781389236
4,3,437,6.71255618333817
4,3,438,6.62155508995056
4,3,439,6.51699817180634
4,3,440,6.40080827474594
4,3,441,6.27537301182747
4,3,442,6.14349663257599
4,3,443,6.00835651159286
4,3,444,5.87341326475143
4,3,445,5.74231424927711
4,3,446,5.61876487731934
4,3,447,5.506377607584
4,3,448,5.40849226713181
4,3,449,5.32801258563995
4,3,450,5.26718968153
4,3,451,5.22746407985687
4,4,401,7.37792134284973
4,4,402,7.62926334142685
4,4,403,7.873375415802
4,4,404,8.10664188861847
4,4,405,8.32629179954529
4,4,406,8.53042274713516
4,4,407,8.71794831752777
4,4,408,8.88851338624954
4,4,409,9.04236316680908
4,4,410,9.18023544549942
4,4,411,9.30324792861938
4,4,412,9.41284167766571
4,4,413,9.51073372364044
4,4,414,9.59888505935669
4,4,415,9.67946922779083
4,4,416,9.75485384464264
4,4,417,9.82751739025116
4,4,418,9.89994513988495
4,4,419,9.97445285320282
4,4,420,10.0529959201813
4,4,421,10.1369421482086
4,4,422,10.2268640398979
4,4,423,10.3223309516907
4,4,424,10.4218332767487
4,4,425,10.5227273106575
4,4,426,10.6213258504868
4,4,427,10.71309030056
4,4,428,10.7929387688637
4,4,429,10.855659365654
4,4,430,10.8963432312012
4,4,431,10.9108273983002
4,4,432,10.8961044549942
4,4,433,10.8506560325623
4,4,434,10.7745914459229
4,4,435,10.6697316169739
4,4,436,10.5394314527512
4,4,437,10.388313293457
4,4,438,10.2218444347382
4,4,439,10.0458450317383
4,4,440,9.8659656047821
4,4,441,9.68719428777695
4,4,442,9.51344507932663
4,4,443,9.34727692604065
4,4,444,9.18978142738342
4,4,445,9.04063028097153
4,4,446,8.89830058813095
4,4,447,8.76041030883789
4,4,448,8.62417012453079
4,4,449,8.48684298992157
4,4,450,8.34620708227158
4,4,451,8.20091384649277
5,1,401,4.25112751126289
5,1,402,4.42581072449684
5,1,403,4.57539385557175
5,1,404,4.69505155086517
5,1,405,4.78417411446571
5,1,406,4.84620746970177
5,1,407,4.88801059126854
5,1,408,4.9188631772995
5,1,409,4.94924280047417
5,1,410,4.98945990204811
5,1,411,5.04839131236076
5,1,412,5.13235855102539
5,1,413,5.24434599280357
5,1,414,5.3835985660553
5,1,415,5.5456355214119
5,1,416,5.72271150350571
5,1,417,5.9046151638031
5,1,418,6.0797478556633
5,1,419,6.23632615804672
5,1,420,6.36359798908234
5,1,421,6.45294225215912
5,1,422,6.49871343374252
5,1,423,6.4987820982933
5,1,424,6.45468866825104
5,1,425,6.37143218517303
5,1,426,6.25690591335297
5,1,427,6.1210857629776
5,1,428,5.97503054141998
5,1,429,5.82981222867966
5,1,430,5.69551187753677
5,1,431,5.58033913373947
5,1,432,5.48999798297882
5,1,433,5.42730581760406
5,1,434,5.39212226867676
5,1,435,5.38155609369278
5,1,436,5.39041072130203
5,1,437,5.4117842912674
5,1,438,5.43780910968781
5,1,439,5.46038419008255
5,1,440,5.47187751531601
5,1,441,5.46571052074432
5,1,442,5.43680858612061
5,1,443,5.38184058666229
5,1,444,5.29935878515244
5,1,445,5.1897052526474
5,1,446,5.05486047267914
5,1,447,4.89816576242447
5,1,448,4.72401320934296
5,1,449,4.53751677274704
5,1,450,4.34420907497406
5,1,451,4.14974665641785
5,2,401,6.09929120540619
5,2,402,6.17308187484741
5,2,403,6.24342036247253
5,2,404,6.3101435303688
5,2,405,6.3744792342186
5,2,406,6.43871384859085
5,2,407,6.50573134422302
5,2,408,6.57847452163696
5,2,409,6.65939348936081
5,2,410,6.74996238946915
5,2,411,6.85032016038895
5,2,412,6.95908772945404
5,2,413,7.07337176799774
5,2,414,7.18899095058441
5,2,415,7.30087703466415
5,2,416,7.40358853340149
5,2,417,7.49194145202637
5,2,418,7.56161177158356
5,2,419,7.6096795797348
5,2,420,7.6350457072258
5,2,421,7.63863390684128
5,2,422,7.6234079003334
5,2,423,7.59414207935333
5,2,424,7.55699521303177
5,2,425,7.51893377304077
5,2,426,7.48704838752747
5,2,427,7.46786385774612
